STATE,TRACT,P012A002,P012A026,P012B001,P012B002,P012B026,P012C001,P012C002,P012C026,P012D001,P012D002,P012D026,P012E001,P012E002,P012E026,P012F001,P012F002,P012F026,P012G001,P012G002,P012G026,P012H001,P012H002,P012H026,P012I001,P012I002,P012I026,P013001,P013A001,P013B001,P013C001,P013D001,P013E001,P013F001,P013G001,P013H001,P013I001,state,county,tract
42,464300,1653,1889,114,59,55,8,6,2,20,5,15,0,0,0,8,4,4,20,13,7,21,16,5,3525,1638,1887,38.5,38,37,32,32,0,12,23,23,38,42,003,464300
42,464400,1337,1462,769,339,430,16,5,11,29,15,14,2,1,1,22,10,12,93,52,41,39,16,23,2788,1330,1458,36.8,42,20,31,27,30,13,11,20,42,42,003,464400
42,465600,1236,1406,109,48,61,6,3,3,28,16,12,4,2,2,4,1,3,33,15,18,9,4,5,2636,1233,1403,38.4,39,28,14,27,45,7,15,36,39,42,003,465600
42,465800,1797,1965,75,43,32,1,1,0,12,4,8,1,0,1,6,3,3,23,10,13,29,14,15,3740,1786,1954,37.4,37,30,44,20,31,23,19,27,37,42,003,465800
42,466000,222,231,0,0,0,0,0,0,4,0,4,0,0,0,1,1,0,10,5,5,7,4,3,447,219,228,43.9,44,0,0,7,0,9,19,21,44,42,003,466000
42,467000,229,231,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,458,227,231,43.7,43,44,0,0,0,0,2,38,43,42,003,467000
42,468700,880,1014,66,36,30,0,0,0,9,4,5,0,0,0,3,1,2,12,5,7,5,4,1,1890,877,1013,39.7,39,44,0,28,0,18,9,40,39,42,003,468700
42,468800,1037,1171,99,50,49,5,2,3,22,12,10,0,0,0,15,11,4,16,10,6,24,12,12,2190,1029,1161,39.3,39,31,28,34,0,12,8,25,39,42,003,468800
42,468900,1587,1972,302,121,181,2,1,1,72,37,35,4,4,0,15,12,3,86,45,41,54,30,24,3525,1567,1958,41.1,43,20,43,29,50,10,13,25,44,42,003,468900
42,469000,2150,2390,25,14,11,0,0,0,92,53,39,0,0,0,2,1,1,60,33,27,31,17,14,4516,2137,2379,44.6,45,37,0,38,0,39,15,32,45,42,003,469000
42,470300,1635,2037,42,20,22,1,0,1,74,35,39,0,0,0,5,3,2,11,5,6,27,14,13,3650,1624,2026,46.5,46,47,0,30,0,27,30,30,47,42,003,470300
42,470400,1548,1844,15,4,11,2,1,1,29,15,14,2,0,2,3,3,0,18,13,5,15,10,5,3382,1543,1839,43.8,44,26,44,43,60,34,15,55,44,42,003,470400
